CO2 (ppmv),Year
244.8,-305513.2650000001
248.6,-304631.11500000005
250.2,-303828.1500000001
240.7,-303149.81000000006
240.2,-302150.92000000004
236.0,-301166.00000000006
239.0,-300134.19000000006
236.1,-299075.61500000005
231.0,-298165.86500000005
224.4,-297426.28
217.1,-296754.61500000005
213.1,-294878.86500000005
212.7,-293414.225
206.7,-292505.29000000004
206.0,-291700.74000000005
207.6,-290868.31000000006
217.1,-289612.87000000005
220.4,-288913.79000000004
234.9,-288234.5
231.0,-286336.42500000005
230.4,-285870.05000000005
231.4,-285493.86
226.4,-284659.9550000001
228.0,-283981.32000000007
231.3,-282484.68000000005
223.7,-280642.89
215.3,-279450.74000000005
211.0,-278608.95
204.5,-277669.0450000001
202.2,-276640.9050000001
193.2,-275493.0000000001
198.4,-274307.7150000001
194.1,-273204.63500000007
193.9,-272214.07500000007
190.4,-271215.8300000001
184.7,-270199.6400000001
198.8,-269086.0350000001
194.2,-267990.47000000003
187.2,-267045.5
188.7,-266307.83
211.7,-265057.0
199.9,-264184.45000000007
228.1,-262633.76000000007
214.6,-260867.0950000001
208.9,-260104.57500000004
205.7,-259343.92000000004
209.6,-258944.24000000005
203.9,-257446.89500000005
204.0,-255958.0650000001
201.9,-255110.58500000005
199.0,-254348.66
195.4,-252637.10500000007
196.7,-251806.68000000005
195.4,-251003.7200000001
213.9,-250182.25500000003
200.2,-249440.57000000004
214.7,-247149.87000000005
219.4,-244920.48500000004
230.4,-244238.81000000008
236.7,-243614.0
249.9,-243107.01000000004
252.3,-242632.335
263.7,-242171.765
280.2,-241188.52
279.0,-240735.46
263.2,-239905.4
259.7,-239383.045
252.8,-238240.365
247.4,-237788.66
245.8,-237437.03500000003
245.6,-237058.26
239.1,-236475.335
243.1,-235955.53000000003
247.4,-235441.655
241.4,-234900.8
252.1,-234476.005
245.2,-234040.855
241.6,-230906.06
233.9,-230241.77
232.4,-229179.66
224.5,-227622.04500000004
233.1,-226816.99
234.5,-226489.415
235.5,-225769.97500000003
215.7,-224899.835
203.3,-224309.82500000004
205.6,-222321.50500000003
208.8,-221179.035
207.1,-220589.57500000004
216.1,-219747.46
214.1,-218985.615
240.5,-217117.605
245.3,-216250.785
251.1,-215744.96
251.7,-215465.635
247.5,-214914.965
242.6,-214356.15
240.3,-213962.34
241.4,-213130.745
251.2,-212208.81
243.4,-211380.35
257.4,-210583.075
239.5,-210128.745
246.9,-209627.835
252.0,-209108.465
247.2,-208882.06500000003
243.9,-208225.17
244.6,-208016.085
242.2,-207495.04
240.5,-207132.255
230.0,-206871.57
237.2,-206324.525
238.1,-206158.775
231.4,-205672.89
229.4,-205290.3
226.3,-204946.85
228.6,-204409.935
232.2,-203994.575
231.9,-203625.755
244.4,-203253.275
247.6,-201892.0
239.1,-200794.5
250.9,-199802.0
242.6,-196988.0
241.2,-196377.45
226.4,-195637.35000000003
220.0,-193849.5
226.5,-193176.50000000003
218.0,-191124.5
220.3,-190014.075
231.4,-189304.5
231.3,-187856.5
210.7,-186487.0
203.4,-184461.0
199.7,-182421.0
198.1,-181308.0
217.7,-180246.0
213.2,-179352.0
207.7,-177923.0
190.1,-175779.5
189.4,-175583.92500000002
190.3,-174903.0
196.0,-173883.35
197.7,-172492.0
197.8,-169989.0
196.6,-167564.40000000002
183.8,-166795.5
186.7,-165964.1
190.1,-164834.00000000003
191.6,-164193.0
196.5,-162384.65000000002
204.3,-161908.0
187.5,-158204.99999999997
185.5,-157766.0
189.0,-156716.0
189.38,-154356.8181818182
196.3,-152939.1272727273
198.78,-151824.6575757576
202.35,-149494.85454545452
202.51,-148644.8848484849
201.78,-147516.14545454548
195.81,-146283.46545454545
193.59,-144158.24363636365
196.02,-142849.59090909088
194.59,-141701.30000000002
196.51,-140410.5618181818
192.75,-137999.96969696967
198.55,-136884.296969697
199.18,-135813.42424242423
203.74,-134615.54545454544
212.43,-132572.2787878788
222.74,-131825.80606060606
224.63,-130981.95757575758
228.0,-130759.87878787878
