temp,Year,celsius,anomaly
211.3,-58558.09,-61.849999999999966,-6.111494252873548
211.5,-58606.23,-61.64999999999998,-5.91149425287356
213.1,-58653.56,-60.04999999999998,-4.311494252873565
212.5,-58697.65,-60.64999999999998,-4.91149425287356
212.5,-58741.46,-60.64999999999998,-4.91149425287356
212.7,-58785.82,-60.44999999999999,-4.711494252873571
211.1,-58830.1,-62.04999999999998,-6.311494252873565
212.1,-58879.5,-61.04999999999998,-5.311494252873565
211.6,-58926.66,-61.54999999999998,-5.811494252873565
211.8,-58974.57,-61.349999999999966,-5.611494252873548
211.2,-59023.0,-61.94999999999999,-6.211494252873571
211.1,-59073.12,-62.04999999999998,-6.311494252873565
211.5,-59123.68,-61.64999999999998,-5.91149425287356
211.8,-59172.82,-61.349999999999966,-5.611494252873548
210.9,-59221.66,-62.24999999999997,-6.511494252873554
211.5,-59272.13,-61.64999999999998,-5.91149425287356
212.2,-59321.19,-60.94999999999999,-5.211494252873571
211.2,-59368.93,-61.94999999999999,-6.211494252873571
211.7,-59417.92,-61.44999999999999,-5.711494252873571
212.4,-59465.91,-60.74999999999997,-5.011494252873554
212.6,-59511.53,-60.54999999999998,-4.811494252873565
211.2,-59557.53,-61.94999999999999,-6.211494252873571
211.5,-59606.01,-61.64999999999998,-5.91149425287356
211.2,-59655.86,-61.94999999999999,-6.211494252873571
210.9,-59706.52,-62.24999999999997,-6.511494252873554
211.7,-59757.34,-61.44999999999999,-5.711494252873571
212.0,-59806.12,-61.14999999999998,-5.41149425287356
211.3,-59854.14,-61.849999999999966,-6.111494252873548
210.7,-59904.32,-62.44999999999999,-6.711494252873571
212.0,-59955.46,-61.14999999999998,-5.41149425287356
211.3,-60004.7,-61.849999999999966,-6.111494252873548
211.6,-60053.83,-61.54999999999998,-5.811494252873565
211.3,-60103.36,-61.849999999999966,-6.111494252873548
211.1,-60153.43,-62.04999999999998,-6.311494252873565
211.1,-60204.48,-62.04999999999998,-6.311494252873565
211.4,-60255.55,-61.74999999999997,-6.011494252873554
210.3,-60307.05,-62.849999999999966,-7.111494252873548
210.8,-60360.51,-62.349999999999966,-6.611494252873548
211.5,-60413.1,-61.64999999999998,-5.91149425287356
211.0,-60463.98,-62.14999999999998,-6.41149425287356
210.7,-60515.75,-62.44999999999999,-6.711494252873571
210.9,-60568.77,-62.24999999999997,-6.511494252873554
211.2,-60621.2,-61.94999999999999,-6.211494252873571
210.8,-60672.91,-62.349999999999966,-6.611494252873548
210.7,-60725.68,-62.44999999999999,-6.711494252873571
210.1,-60779.62,-63.04999999999998,-7.311494252873565
210.2,-60836.31,-62.94999999999999,-7.211494252873571
209.5,-60892.99,-63.64999999999998,-7.91149425287356
210.3,-60952.05,-62.849999999999966,-7.111494252873548
210.5,-61008.61,-62.64999999999998,-6.91149425287356
210.4,-61063.77,-62.74999999999997,-7.011494252873554
