Year,CO2 (ppmv),Temperature Anomaly [°C],Year(for Temp)
-511254.7393939395,242.0,-4.41,1393.281
-510413.7818181817,235.2,-4.21,1393.589
-509562.4484848484,236.4,-4.67,1393.874
-508702.3272727273,233.4,-3.25,1394.156
-507834.981818182,240.3,-3.09,1394.437
-506990.9818181818,237.0,-3.35,1394.7350000000001
-506167.72121212096,238.2,-4.04,1395.0520000000001
-505362.3999999999,236.0,-4.52,1395.396
-504533.7333333333,235.5,-4.68,1395.75
-503734.2424242425,233.9,-5.07,1396.126
-502961.781818182,234.1,-5.42,1396.519
-502227.187878788,232.2,-6.23,1396.953
-501468.92727272736,232.0,-6.29,1397.393
-500687.6363636362,231.2,-6.94,1397.871
-499911.424242424,230.8,-6.48,1398.327
-499133.9636363636,228.2,-6.28,1398.792
-498354.7818181817,230.8,-5.58,1399.239
-497576.7818181818,230.6,-5.35,1399.6779999999999
-496787.4181818184,232.8,-6.14,1400.145
-496015.97575757577,236.5,-6.81,1400.652
-495237.6303030304,236.4,-7.2,1401.182
-494494.0666666664,237.6,-7.17,1401.72
-493775.6909090908,238.5,-6.82,1402.254
-493074.1272727274,238.3,-7.17,1402.798
-492350.39393939386,239.1,-7.91,1403.396
-491643.1090909093,239.7,-8.14,1404.0149999999999
-490913.7757575757,243.7,-8.12,1404.633
-490204.5454545456,246.7,-8.13,1405.242
-489501.0787878788,243.3,-7.64,1405.851
-488783.9515151515,242.6,-7.35,1406.446
-488544.9090909091,249.3,-7.24,1407.036
-488076.2909090909,252.8,-7.1,1407.6190000000001
-487769.793939394,240.9,-7.28,1408.212
-487352.0909090908,242.0,-7.43,1408.812
-486615.45454545465,237.1,-7.55,1409.411
-485898.0666666667,231.3,-7.46,1410.009
-485179.2545454547,232.9,-7.56,1410.609
-484448.6727272727,233.0,-7.77,1411.216
-483717.5212121211,231.2,-7.53,1411.806
-482986.1818181817,231.4,-6.47,1412.348
-482229.787878788,231.4,-6.76,1412.887
-481445.3818181817,227.3,-6.82,1413.425
-480630.9636363639,223.4,-6.76,1413.9560000000001
-479712.9636363636,223.8,-6.99,1414.492
-478776.6848484848,218.8,-6.64,1415.0059999999999
-478378.2969696968,220.8,-7.2,1415.5410000000002
-477825.69090909074,231.3,-7.24,1416.074
-477452.95151515136,236.5,-7.71,1416.625
-476942.4606060604,239.1,-7.48,1417.159
-475991.0000000001,236.6,-7.71,1417.6979999999999
-474999.7999999998,232.8,-7.12,1418.205
-473975.2000000002,233.1,-7.33,1418.716
-473024.10909090936,241.2,-6.75,1419.196
-472142.3636363638,245.6,-6.07,1419.643
-471850.8484848487,243.9,-5.43,1420.0610000000001
-471267.81818181806,243.7,-5.18,1420.466
-470913.2727272727,232.7,-4.5,1420.8429999999998
-470313.0666666664,229.2,-4.44,1421.217
-469874.53333333344,218.7,-4.14,1421.578
