Temperature Anomoly,Year
-8.15,-221168.99
-8.7,-221336.96
-7.99,-221509.94
-8.69,-221677.35
-8.57,-221854.4
-8.65,-222027.25
-8.08,-222204.52
-8.56,-222374.64
-8.07,-222551.03
-7.98,-222719.27
-8.01,-222887.83
-7.46,-223053.38
-7.76,-223215.21
-7.96,-223381.11
-6.52,-223549.44
-6.64,-223699.09
-6.36,-223849.0
-6.02,-223994.22
-5.19,-224135.07
-4.55,-224265.22
-6.13,-224392.16
-5.75,-224538.87
-6.53,-224677.85
-6.24,-224823.83
-5.78,-224967.85
-6.48,-225109.7
-6.43,-225261.34
-7.36,-225412.86
-7.57,-225576.01
-7.77,-225741.88
-7.21,-225912.43
-7.83,-226076.48
-8.31,-226249.31
-8.18,-226430.32
-8.33,-226610.25
-8.15,-226792.62
-8.12,-226972.58
-7.51,-227151.82
-7.23,-227322.16
-5.87,-227488.21
-6.27,-227634.72
-4.89,-227786.18
-6.92,-227922.37
-6.51,-228082.31
-6.53,-228238.95
-7.69,-228396.7
-7.72,-228571.5
-7.59,-228747.78
-7.32,-228922.46
-7.46,-229097.11
-7.1,-229269.97
-6.87,-229438.02
-6.67,-229602.26
-6.54,-229763.95
-6.0,-229923.51
-5.97,-230076.46
-5.48,-230231.67
-6.16,-230377.99
-6.01,-230532.61
-6.07,-230686.03
-6.09,-230840.58
-5.78,-230995.48
-6.03,-231146.58
-5.65,-231300.71
-5.81,-231450.57
-4.76,-231601.46
-5.1,-231740.53
-4.94,-231881.18
-4.66,-232021.34
-4.79,-232158.7
-4.92,-232297.42
-4.85,-232438.0
-4.89,-232577.99
-4.53,-232718.27
-4.61,-232854.88
-3.4,-232991.85
-3.88,-233115.23
-3.42,-233242.9
-3.43,-233366.06
-3.51,-233489.18
-3.25,-233613.09
-3.95,-233734.86
-3.6,-233863.89
-3.31,-233989.84
-2.73,-234111.38
-2.08,-234227.55
-3.13,-234339.79
-2.61,-234459.37
-2.85,-234574.75
-2.11,-234691.6
-2.83,-234801.76
-2.41,-234917.76
-2.8,-235031.06
-3.07,-235147.88
-2.39,-235267.02
-2.43,-235382.04
-2.13,-235494.89
-2.89,-235605.58
-2.74,-235722.66
-2.59,-235839.96
-1.99,-235954.05
-2.01,-236063.03
-2.45,-236171.97
-2.91,-236284.9
-2.09,-236402.28
-2.33,-236512.71
-1.86,-236624.29
-2.5,-236735.39
-1.58,-236839.06
-1.78,-236946.14
-1.65,-237050.45
-2.41,-237160.97
-2.38,-237275.07
-1.41,-237378.05
-2.39,-237489.38
-2.62,-237603.24
-2.26,-237713.37
-1.87,-237818.89
-0.57,-237915.71
-1.12,-238011.05
-1.59,-238110.53
-0.99,-238213.42
-1.0,-238312.43
-0.72,-238410.41
-1.06,-238506.85
-1.22,-238605.48
-0.81,-238705.15
-0.26,-238801.53
-0.52,-238893.63
-0.56,-238987.25
-0.01,-239080.95
0.29,-239170.22
0.38,-239257.13
0.38,-239343.16
1.03,-239428.5
0.09,-239510.79
1.17,-239597.15
0.51,-239677.9
1.72,-239760.58
2.46,-239837.32
2.56,-239907.58
2.2,-239977.53
1.98,-240049.34
2.73,-240121.74
1.96,-240191.06
2.21,-240263.98
2.71,-240335.8
2.31,-240404.7
2.42,-240475.13
2.06,-240545.58
1.84,-240618.17
1.91,-240691.94
1.89,-240765.48
1.08,-240839.15
2.2,-240917.16
1.81,-240989.88
1.57,-241064.16
1.14,-241139.61
0.74,-241218.78
0.63,-241300.18
0.36,-241382.67
1.01,-241464.48
0.99,-241544.51
1.19,-241624.02
0.87,-241703.0
0.21,-241785.37
-0.12,-241871.33
-0.21,-241959.48
-0.36,-242048.59
-1.25,-242138.91
-1.66,-242237.17
-2.32,-242339.39
-2.13,-242447.96
-1.83,-242554.55
